iter	Passed	Remaining
935	2054	140
936	2057	138
937	2059	136
938	2061	133
939	2063	131
940	2065	129
941	2067	127
942	2070	125
943	2073	122
944	2075	120
945	2077	118
946	2080	116
947	2081	114
948	2084	112
949	2086	109
950	2088	107
951	2090	105
952	2092	103
953	2094	101
954	2096	98
955	2098	96
956	2100	94
957	2102	92
958	2104	89
959	2106	87
960	2108	85
961	2110	83
962	2112	81
963	2113	78
964	2115	76
965	2117	74
966	2119	72
967	2121	70
968	2123	67
969	2125	65
970	2127	63
971	2129	61
972	2131	59
973	2133	56
974	2135	54
975	2137	52
976	2139	50
977	2141	48
978	2143	45
979	2145	43
980	2147	41
981	2149	39
982	2151	37
983	2153	35
984	2155	32
985	2157	30
986	2159	28
987	2161	26
988	2163	24
989	2165	21
990	2167	19
991	2169	17
992	2171	15
993	2174	13
994	2176	10
995	2178	8
996	2180	6
997	2182	4
998	2184	2
999	2186	0
